SIFT_pred	LRT_pred	MutationTaster_pred	FATHMM_pred	clinvar_clnsig
.	N	N	.	Benign/Likely_benign
.	U	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Benign/Likely_benign
.	U	D	.	Uncertain_significance
.	U	N	.	Likely_benign
.	U	N	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	U	A	.	Likely_pathogenic
.	N	N	.	Uncertain_significance
.	N	D	.	Conflicting_interpretations_of_pathogenicity
.	U	N	.	Uncertain_significance
.	U	D	.	Benign/Likely_benign
.	U	D	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	U	N	.	Likely_benign
.	U	N	.	Uncertain_significance
.	U	P	.	Benign
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	U	N	.	Likely_benign
.	U	A	.	Pathogenic
.	U	D	.	Pathogenic
.	U	D	.	Benign/Likely_benign
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Conflicting_interpretations_of_pathogenicity
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Pathogenic
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Benign
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Benign/Likely_benign
.	N	N	.	Likely_benign
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Likely_benign
.	N	N	.	Likely_benign
D	N	N	T	Uncertain_significance
T	N	N	T	Likely_benign
D	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	D	Likely_benign
T	N	N	T	Pathogenic
.	.	D	.	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	N	T	Benign
.	U	D	.	Pathogenic
.	U	N	.	Pathogenic
.	U	N	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Pathogenic
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	D	.	Likely_pathogenic
.	N	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	N	P	.	Benign
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Pathogenic
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	D	.	Pathogenic
.	U	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	U	D	.	Pathogenic
.	U	D	.	Pathogenic
T	N	N	T	Uncertain_significance
D	N	N	T	Uncertain_significance
.	N	D	.	Likely_benign
.	U	D	.	Uncertain_significance
T	N	D	T	Benign
D	U	D	T	Likely_pathogenic
D	D	D	D	Conflicting_interpretations_of_pathogenicity
T	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
.	.	D	.	Uncertain_significance
D	D	D	T	Uncertain_significance
.	D	A	.	Uncertain_significance
T	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Likely_pathogenic
T	U	D	D	Pathogenic
D	.	D	.	Pathogenic
D	.	D	.	Pathogenic/Likely_pathogenic
.	.	N	.	Pathogenic
D	.	D	.	Uncertain_significance
D	.	D	.	Uncertain_significance
D	.	D	.	Pathogenic
D	.	D	.	Uncertain_significance
D	.	D	.	Pathogenic
D	.	D	.	Pathogenic
D	.	D	.	Likely_pathogenic
.	.	A	.	Likely_benign
.	.	D	.	Uncertain_significance
.	D	D	.	Pathogenic/Likely_pathogenic
.	D	D	.	Uncertain_significance
.	D	D	T	Likely_pathogenic
D	D	D	D	Pathogenic
D	D	D	T	Conflicting_interpretations_of_pathogenicity
D	D	D	T	Pathogenic/Likely_pathogenic
D	D	D	T	Pathogenic/Likely_pathogenic
D	D	D	T	Likely_pathogenic
D	D	D	T	Pathogenic
D	D	D	T	Pathogenic
D	D	D	T	Pathogenic/Likely_pathogenic
D	D	D	T	Pathogenic
D	D	D	T	Likely_pathogenic
D	D	D	T	Likely_pathogenic
D	D	D	D	Pathogenic/Likely_pathogenic
D	D	D	D	Pathogenic/Likely_pathogenic
D	D	D	T	Likely_pathogenic
.	N	N	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	.	D	.	Likely_benign
.	.	P	.	Benign
.	.	D	.	Likely_benign
.	D	D	.	Uncertain_significance
.	.	D	.	Benign
.	.	D	.	Benign
.	.	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	.	D	.	Likely_benign
.	.	D	.	Likely_benign
.	D	D	.	risk_factor
.	.	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	.	D	.	Likely_benign
.	N	D	.	Likely_benign
.	N	D	.	Benign/Likely_benign,_risk_factor
.	D	D	.	Uncertain_significance
.	.	D	.	Likely_benign
.	D	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	.	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	.	P	.	Benign
.	.	D	.	Benign
.	.	D	.	Likely_benign
.	.	D	.	Likely_benign
.	.	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	.	D	.	Benign
.	.	D	.	Benign
.	.	D	.	Benign
.	.	D	.	Benign
.	D	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	.	N	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	.	N	.	Uncertain_significance
.	.	N	.	Uncertain_significance
.	.	P	.	Benign
.	D	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	.	D	.	Benign
.	.	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	.	D	.	Likely_benign
.	.	N	.	Likely_benign
.	N	N	.	Likely_benign
.	N	D	.	Uncertain_significance
.	.	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Benign
.	N	N	.	Uncertain_significance
.	N	N	.	Likely_benign
.	.	N	.	Likely_benign
.	.	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	.	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	N	D	Uncertain_significance
T	U	N	D	Uncertain_significance
T	U	N	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	U	D	D	Pathogenic
D	U	D	D	Likely_pathogenic
D	U	D	D	Pathogenic
D	U	D	D	Pathogenic/Likely_pathogenic
D	U	D	D	Pathogenic
D	U	D	D	Pathogenic
D	U	D	D	Pathogenic
D	U	D	D	Conflicting_interpretations_of_pathogenicity
D	U	D	D	Pathogenic
D	U	D	D	Conflicting_interpretations_of_pathogenicity
D	U	D	D	Uncertain_significance
T	U	N	D	Uncertain_significance
T	.	N	D	Uncertain_significance
D	.	P	D	Benign
T	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	D	D	D	Pathogenic
D	D	D	D	Pathogenic/Likely_pathogenic
D	D	D	D	Likely_pathogenic
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	T	Likely_pathogenic
D	D	D	D	Conflicting_interpretations_of_pathogenicity
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
D	D	N	D	Uncertain_significance
D	D	D	D	Uncertain_significance
.	D	A	.	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
T	N	N	D	Likely_benign
T	U	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Conflicting_interpretations_of_pathogenicity
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	N	N	D	Conflicting_interpretations_of_pathogenicity
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Benign/Likely_benign
T	N	N	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	D	D	D	Conflicting_interpretations_of_pathogenicity
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Conflicting_interpretations_of_pathogenicity
T	D	N	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Conflicting_interpretations_of_pathogenicity
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
.	.	D	.	Uncertain_significance
T	N	N	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	N	D	D	Conflicting_interpretations_of_pathogenicity
D	N	N	D	Uncertain_significance
T	N	N	D	Likely_benign
T	N	N	D	Likely_benign
T	N	N	D	Likely_benign
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
T	U	D	D	Uncertain_significance
D	U	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Benign/Likely_benign
D	D	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
D	N	N	D	Uncertain_significance
T	N	N	D	Likely_benign
T	N	N	D	Likely_benign
T	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
D	U	D	D	Uncertain_significance
.	.	N	.	Uncertain_significance
.	.	N	.	Uncertain_significance
D	N	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
.	.	D	.	Uncertain_significance
.	.	D	.	Likely_pathogenic
.	.	D	.	Likely_pathogenic
D	D	N	T	Uncertain_significance
D	D	A	D	Pathogenic
D	D	D	D	Uncertain_significance
D	D	D	T	Uncertain_significance
T	D	D	T	Uncertain_significance
.	N	A	.	Pathogenic
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Benign/Likely_benign
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
.	N	A	.	Likely_pathogenic
.	.	D	.	Likely_pathogenic
.	.	D	.	Likely_pathogenic
.	.	D	.	Pathogenic
T	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	D	T	Uncertain_significance
.	N	A	.	Pathogenic
T	N	N	T	Uncertain_significance
T	N	N	T	Conflicting_interpretations_of_pathogenicity
D	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	D	D	Uncertain_significance
T	.	N	T	Uncertain_significance
.	.	D	.	Pathogenic
T	N	N	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	N	N	D	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	N	T	Likely_benign
T	D	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
.	N	A	.	Likely_pathogenic
.	D	A	.	Likely_pathogenic
T	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
.	.	D	.	Likely_pathogenic
D	D	D	T	Pathogenic
D	D	D	T	Pathogenic/Likely_pathogenic
T	.	P	D	not_provided
T	.	N	D	not_provided
T	.	N	T	not_provided
D	.	N	T	Uncertain_significance
T	.	P	D	not_provided
D	.	N	D	not_provided
D	.	N	D	not_provided
T	U	D	T	Uncertain_significance
T	N	N	T	Likely_benign
D	U	N	T	Uncertain_significance
D	U	N	T	Uncertain_significance
D	U	D	T	Benign/Likely_benign
D	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	N	N	T	Likely_benign
T	U	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
D	U	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
D	U	N	T	Uncertain_significance
.	.	D	.	Likely_benign
D	U	N	D	Uncertain_significance
D	U	N	T	Conflicting_interpretations_of_pathogenicity
D	U	N	T	Uncertain_significance
T	U	N	T	Likely_benign
T	U	N	T	Conflicting_interpretations_of_pathogenicity
T	U	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
D	U	D	T	Pathogenic
T	N	N	T	Uncertain_significance
D	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
T	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
T	N	D	T	Likely_benign
T	D	D	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	D	D	T	Benign/Likely_benign
D	U	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
D	U	N	T	Uncertain_significance
T	U	D	T	Uncertain_significance
D	U	D	T	Benign
D	U	D	T	Uncertain_significance
T	N	P	T	Benign
D	U	D	T	Uncertain_significance
T	U	N	T	Benign/Likely_benign
T	U	N	T	Uncertain_significance
T	U	N	T	Benign/Likely_benign
T	U	D	T	Conflicting_interpretations_of_pathogenicity
T	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	P	T	Benign
T	D	D	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	N	T	Uncertain_significance
D	N	D	T	Uncertain_significance
.	U	A	.	Pathogenic
T	U	D	T	Uncertain_significance
T	N	D	T	Likely_benign
D	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	U	N	T	Conflicting_interpretations_of_pathogenicity
T	U	N	T	Likely_benign
T	U	N	T	Uncertain_significance
D	U	D	T	Uncertain_significance
.	U	A	.	Uncertain_significance
T	U	D	T	Pathogenic
T	U	D	T	Conflicting_interpretations_of_pathogenicity
T	U	N	T	Benign/Likely_benign
D	U	D	T	Uncertain_significance
D	U	D	T	Likely_benign
D	U	D	T	Benign/Likely_benign
T	N	N	T	Benign/Likely_benign
T	U	D	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	N	N	T	Benign
T	U	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	D	T	Pathogenic
D	D	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	D	T	Benign
D	D	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
D	D	D	T	Likely_benign
D	D	D	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	N	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	D	T	Likely_benign
D	N	D	T	Conflicting_interpretations_of_pathogenicity
T	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
D	U	D	T	Uncertain_significance
D	U	D	T	Benign
T	U	D	T	Uncertain_significance
T	U	N	T	Likely_benign
D	D	D	T	Uncertain_significance
D	U	N	T	Uncertain_significance
T	N	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Benign
D	U	N	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	U	D	T	Uncertain_significance
T	U	D	T	Likely_benign
T	U	D	T	Uncertain_significance
T	U	D	T	Uncertain_significance
T	D	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
.	.	D	.	Pathogenic
.	D	D	T	Benign
.	D	A	.	Uncertain_significance
D	D	D	T	Uncertain_significance
.	D	A	.	Pathogenic
.	.	D	.	Pathogenic
D	D	D	.	Uncertain_significance
T	N	N	.	Benign
.	D	A	.	Pathogenic
D	D	D	T	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Conflicting_interpretations_of_pathogenicity
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	D	D	D	Conflicting_interpretations_of_pathogenicity
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	N	N	D	Likely_benign
T	D	D	D	Uncertain_significance
T	N	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	N	N	D	Conflicting_interpretations_of_pathogenicity
D	N	N	D	Uncertain_significance
T	N	D	D	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	N	T	Benign
D	D	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	N	N	T	Likely_benign
D	D	D	T	Uncertain_significance
T	D	D	T	Uncertain_significance
T	N	D	D	Conflicting_interpretations_of_pathogenicity
D	D	D	D	Likely_benign
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
T	D	D	D	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	N	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Conflicting_interpretations_of_pathogenicity
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Likely_pathogenic
T	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
T	N	N	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	D	T	Uncertain_significance
D	D	A	D	Pathogenic
D	D	D	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	N	N	D	Uncertain_significance
D	D	D	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	D	N	D	Benign/Likely_benign
T	N	N	D	Uncertain_significance
T	D	D	D	Benign
D	D	D	D	Uncertain_significance
D	D	D	D	Benign/Likely_benign
T	D	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	D	D	Uncertain_significance
T	N	N	D	Benign
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	N	D	Uncertain_significance
D	N	D	D	Uncertain_significance
T	N	N	D	Likely_benign
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Uncertain_significance
T	N	N	D	Benign
T	N	D	D	Uncertain_significance
T	D	N	D	Uncertain_significance
T	N	D	D	Uncertain_significance
T	N	N	D	Uncertain_significance
D	N	D	D	Uncertain_significance
.	.	D	.	Pathogenic
.	D	D	.	Likely_pathogenic
.	N	N	.	Uncertain_significance
.	N	N	.	Conflicting_interpretations_of_pathogenicity
.	D	N	.	Uncertain_significance
.	D	N	.	Benign
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Likely_benign
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Likely_benign
